Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
16,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,28,1993,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0,Partidos
17,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,17,2003,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0,Partidos
18,Amine Adli,ma MAR,"DL,CC",Leverkusen,de Bundesliga,21,2000,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0,Partidos
19,Yacine Adli,fr FRA,"CC,DL",Bordeaux,fr Ligue 1,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Partidos
20,Michel Aebischer,ch SUI,CC,Bologna,it Serie A,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0,Partidos
21,Felix Afena-Gyan,gh GHA,"DL,CC",Roma,it Serie A,18,2003,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0,Partidos
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,Partidos
23,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,20,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Partidos
24,Lucien Agoume,fr FRA,CC,Brest,fr Ligue 1,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1,Partidos
25,Kevin Agudelo,co COL,"CC,DL",Spezia,it Serie A,22,1998,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,Partidos
27,Sergio Agüero,ar ARG,DL,Barcelona,es La Liga,33,1988,1.7,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,Partidos
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0,Partidos
29,Álvaro Aguirre,es ESP,DL,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
30,Naouirou Ahamada,fr FRA,"CC,DF",Stuttgart,de Bundesliga,19,2002,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Partidos
31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0,Partidos
32,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,27,1994,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0,Partidos
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3,Partidos
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0,Partidos
35,Rayan Aït Nouri,dz ALG,"DF,CC",Wolves,eng Premier League,20,2001,20.3,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1,Partidos
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0,Partidos
37,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27,1994,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1,Partidos
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0,Partidos
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0,Partidos
40,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20,2001,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Partidos
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,16,9,7,8,1,6,8,75.0,2,7,5,2,8,24,23,0,Partidos
42,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17,2004,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,Partidos
43,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19,2002,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0,Partidos
44,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23,1997,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0,Partidos
45,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28,1992,3.5,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0,Partidos
46,Kevin Akpoguma,ng NGA,"DF,DL",Hoffenheim,de Bundesliga,26,1995,17.0,33,19,16,11,6,16,28,57.1,12,32,2,30,20,53,29,2,Partidos
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1,Partidos
48,Sofiane Alakouch,ma MAR,"DF,CC",Metz,fr Ligue 1,23,1998,1.8,7,4,3,4,0,2,5,40.0,3,4,0,4,1,8,4,0,Partidos
49,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,22,1999,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0,Partidos
50,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,28,1992,7.3,6,5,0,2,4,2,5,40.0,3,5,0,5,1,7,6,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1,Partidos
52,Josué Albert,fr FRA,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Partidos
53,Luis Alberto,es ESP,CC,Lazio,it Serie A,28,1992,26.1,29,17,8,11,10,8,52,15.4,44,32,4,28,13,42,7,0,Partidos
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1,Partidos
55,Marc Albrighton,eng ENG,"DL,DF",Leicester City,eng Premier League,31,1989,12.6,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0,Partidos
56,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,27,1993,8.7,9,3,2,4,3,1,5,20.0,4,7,0,7,6,15,1,0,Partidos
57,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,30,1991,17.0,48,29,14,24,10,10,42,23.8,32,22,2,20,26,74,13,2,Partidos
58,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,30,1991,12.3,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0,Partidos
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,53,34,34,17,2,34,53,64.2,19,30,18,12,35,88,153,0,Partidos
60,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,26,1995,11.8,33,15,21,10,2,15,44,34.1,29,12,0,12,8,41,17,0,Partidos
61,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,18,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Partidos
62,Carles Aleñá,es ESP,CC,Getafe,es La Liga,23,1998,25.8,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0,Partidos
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,40,23,19,13,8,27,60,45.0,33,22,4,18,43,83,40,0,Partidos
64,Mohamed Ali Cho,fr FRA,DL,Angers,fr Ligue 1,17,2004,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1,Partidos
65,Alisson,br BRA,PO,Liverpool,eng Premier League,28,1992,36.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,28,1,Partidos
66,Allan,br BRA,CC,Everton,eng Premier League,30,1991,24.3,74,44,28,39,7,34,105,32.4,71,40,9,31,23,97,39,1,Partidos
67,Jim Allevinah,ga GAB,DL,Clermont Foot,fr Ligue 1,26,1995,16.5,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0,Partidos
68,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,25,1996,7.3,14,8,10,3,1,5,17,29.4,12,22,5,17,6,20,16,0,Partidos
69,Dele Alli,eng ENG,"CC,DL",Everton,eng Premier League,25,1996,3.8,7,2,3,4,0,0,4,0.0,4,7,2,5,6,13,10,0,Partidos
70,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,27,1994,19.1,47,29,23,17,7,11,44,25.0,33,14,1,13,20,67,13,0,Partidos
71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0,Partidos
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,39,28,18,18,3,21,26,80.8,5,17,5,12,30,69,70,0,Partidos
73,Hugo Álvarez,es ESP,DL,Celta Vigo,es La Liga,18,2003,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,Partidos
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,24,14,15,8,1,10,18,55.6,8,21,16,5,45,69,97,0,Partidos
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,30,19,13,13,4,14,26,53.8,12,10,3,7,11,41,10,2,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
76,Steven Alzate,co COL,CC,Brighton,eng Premier League,22,1998,4.5,10,4,4,5,1,4,7,57.1,3,2,1,1,10,20,10,0,Partidos
77,Ibrahim Amadou,fr FRA,"DF,CC",Metz,fr Ligue 1,28,1993,9.0,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0,Partidos
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Partidos
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4,Partidos
80,Amath,sn SEN,"DL,CC",Mallorca,es La Liga,25,1996,9.8,21,11,11,6,4,7,17,41.2,10,12,0,12,7,28,7,0,Partidos
81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0,Partidos
82,Jordan Amavi,fr FRA,"DF,DL",Marseille,fr Ligue 1,27,1994,1.4,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0,Partidos
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,3,2,1,1,1,2,3,66.7,1,2,0,2,3,6,1,0,Partidos
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,66,42,43,18,5,30,41,73.2,11,39,21,18,32,98,75,0,Partidos
85,Nadiem Amiri,de GER,"CC,DL",Genoa,it Serie A,24,1996,7.6,6,4,2,2,2,2,9,22.2,7,7,0,7,0,6,0,0,Partidos
86,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,24,1996,4.1,8,4,3,2,3,4,8,50.0,4,4,2,2,5,13,0,0,Partidos
87,Ethan Ampadu,wls WAL,"CC,DF",Venezia,it Serie A,20,2000,25.4,67,43,37,27,3,24,58,41.4,34,49,19,30,51,118,76,0,Partidos
88,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,24,1996,10.5,24,13,9,13,2,11,19,57.9,8,25,8,17,5,29,6,1,Partidos
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3,Partidos
90,Felipe Anderson,br BRA,DL,Lazio,it Serie A,28,1993,32.1,71,45,30,33,8,27,99,27.3,72,65,6,59,20,91,16,0,Partidos
91,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,30,1991,14.0,11,7,0,3,8,3,9,33.3,6,8,0,8,3,14,14,0,Partidos
92,Florin Andone,ro ROU,DL,Cádiz,es La Liga,28,1993,2.0,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0,Partidos
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,27,16,18,8,1,17,35,48.6,18,16,7,9,19,46,44,0,Partidos
94,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,30,1990,30.6,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0,Partidos
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,12,10,7,4,1,7,9,77.8,2,6,2,4,6,18,8,0,Partidos
96,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,24,1996,10.8,15,11,4,6,5,5,16,31.3,11,15,0,15,7,22,13,0,Partidos
97,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,26,1994,20.2,33,17,18,14,1,14,28,50.0,14,19,7,12,31,64,46,0,Partidos
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,20,13,9,9,2,9,14,64.3,5,6,1,5,10,30,21,0,Partidos
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,28,21,14,13,1,14,30,46.7,16,24,3,21,29,57,40,0,Partidos
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,20,9,11,7,2,10,13,76.9,3,9,1,8,6,26,10,0,Partidos
102,Janis Antiste,fr FRA,DL,Spezia,it Serie A,18,2002,8.8,18,11,6,6,6,5,13,38.5,8,7,1,6,4,22,6,0,Partidos
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,40,26,22,15,3,19,32,59.4,13,27,16,11,32,72,116,1,Partidos
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Partidos
105,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,31,1990,33.0,23,17,5,9,9,7,18,38.9,11,19,1,18,3,26,13,0,Partidos
106,Christopher Antwi-Adjei,gh GHA,"DL,CC",Bochum,de Bundesliga,27,1994,12.6,21,18,7,8,6,6,26,23.1,20,12,0,12,1,22,8,0,Partidos
107,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,23,1998,27.8,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0,Partidos
108,Adil Aouchiche,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,19,2002,12.0,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0,Partidos
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0,Partidos
110,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,25,1995,29.6,62,37,19,32,11,20,68,29.4,48,35,5,30,32,94,18,0,Partidos
111,Mattia Aramu,it ITA,"CC,DL",Venezia,it Serie A,26,1995,23.3,20,15,5,9,6,8,33,24.2,25,20,2,18,8,28,19,0,Partidos
112,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,32,1989,17.5,45,25,18,21,6,22,52,42.3,30,24,4,20,33,78,21,0,Partidos
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,22,14,17,5,0,9,21,42.9,12,17,10,7,27,49,105,2,Partidos
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,41,23,29,12,0,21,25,84.0,4,37,20,17,23,64,66,1,Partidos
115,Cameron Archer,eng ENG,"DL,CC",Aston Villa,eng Premier League,20,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
116,Alphonse Areola,fr FRA,PO,West Ham,eng Premier League,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Partidos
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,3,3,2,1,0,0,2,0.0,2,0,0,0,0,3,2,1,Partidos
118,Matias Arezo,uy URU,"DL,CC",Granada,es La Liga,18,2002,1.8,5,3,2,1,2,4,9,44.4,5,1,0,1,1,6,1,0,Partidos
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,12,5,8,3,1,4,9,44.4,5,8,4,4,5,17,10,0,Partidos
120,Adam Armstrong,eng ENG,DL,Southampton,eng Premier League,24,1997,15.7,10,4,2,2,6,0,6,0.0,6,13,1,12,3,13,6,0,Partidos
121,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,29,1992,16.4,27,19,15,6,6,9,23,39.1,14,10,1,9,8,35,15,0,Partidos
122,Marko Arnautović,at AUT,DL,Bologna,it Serie A,32,1989,29.9,17,9,1,11,5,7,30,23.3,23,13,2,11,7,24,17,0,Partidos
123,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,27,1994,33.3,37,20,19,16,2,20,50,40.0,30,43,15,28,37,74,55,0,Partidos
124,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,26,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Partidos
125,Tolgay Arslan,de GER,CC,Udinese,it Serie A,30,1990,18.4,35,20,15,16,4,19,50,38.0,31,17,4,13,13,48,23,1,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
126,Arthur,br BRA,DL,Fiorentina,it Serie A,23,1998,8.3,9,5,2,5,2,4,7,57.1,3,4,1,3,1,10,8,0,Partidos
127,Santiago Arzamendia,py PAR,CC,Cádiz,es La Liga,23,1998,5.2,14,6,6,5,3,6,13,46.2,7,6,0,6,4,18,7,0,Partidos
128,Takuma Asano,jp JPN,"DL,CC",Bochum,de Bundesliga,26,1994,17.9,11,6,3,6,2,5,19,26.3,14,14,1,13,7,18,7,0,Partidos
129,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,24,1997,26.4,93,54,50,37,6,38,89,42.7,51,31,6,25,41,134,42,0,Partidos
130,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,32,1989,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,0,Partidos
131,Alejandro Asensio,es ESP,DL,Rayo Vallecano,es La Liga,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
132,Marco Asensio,es ESP,"DL,CC",Real Madrid,es La Liga,25,1996,19.2,12,8,6,4,2,4,18,22.2,14,8,1,7,12,24,6,1,Partidos
133,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Partidos
134,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,20,2001,8.4,18,6,7,11,0,9,19,47.4,10,14,7,7,15,33,15,0,Partidos
135,Fisnik Asllani,xk KVX,"CC,DL",Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Partidos
136,Kristjan Asllani,al ALB,CC,Empoli,it Serie A,19,2002,15.0,18,9,9,8,1,11,29,37.9,18,16,7,9,19,37,15,1,Partidos
137,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,33,1987,34.3,14,7,1,5,8,4,24,16.7,20,23,2,21,11,25,19,0,Partidos
138,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0,Partidos
139,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,13,6,4,5,4,4,8,50.0,4,14,2,12,8,21,16,0,Partidos
140,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0,Partidos
141,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,32,1989,11.5,11,5,6,4,1,3,10,30.0,7,12,1,11,0,11,4,0,Partidos
142,Pierre-Emerick Aubameyang,ga GAB,DL,Barcelona,es La Liga,32,1989,12.0,2,2,0,1,1,0,5,0.0,5,9,1,8,2,4,4,0,Partidos
143,Emil Audero,it ITA,PO,Sampdoria,it Serie A,24,1997,28.4,3,1,3,0,0,3,5,60.0,2,0,0,0,2,5,17,2,Partidos
144,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,36,20,22,8,6,17,29,58.6,12,19,4,15,29,65,68,1,Partidos
145,Jean-Kévin Augustin,fr FRA,"DL,CC",Nantes,fr Ligue 1,24,1997,0.9,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0,Partidos
146,Ludwig Augustinsson,se SWE,"DF,DL",Sevilla,es La Liga,27,1994,8.8,18,14,11,3,4,8,13,61.5,5,10,3,7,5,23,21,0,Partidos
147,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,14,9,11,2,1,4,7,57.1,3,14,7,7,11,25,25,0,Partidos
148,Ezequiel Ávila,ar ARG,"DL,CC",Osasuna,es La Liga,27,1994,20.8,17,7,6,7,4,7,21,33.3,14,14,2,12,13,30,15,1,Partidos
149,Taiwo Awoniyi,ng NGA,DL,Union Berlin,de Bundesliga,23,1997,24.2,11,7,3,6,2,1,9,11.1,8,11,2,9,2,13,29,0,Partidos
150,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
151,Jordan Ayew,gh GHA,DL,Crystal Palace,eng Premier League,29,1991,22.4,47,30,20,20,7,17,31,54.8,14,33,3,30,15,62,15,0,Partidos
152,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15.0,20,12,14,6,0,7,15,46.7,8,20,14,6,13,33,57,0,Partidos
153,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1,Partidos
154,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,6,5,4,2,0,3,5,60.0,2,4,2,2,1,7,10,0,Partidos
